left_authors,right_authors,left_title,right_title,left_keywords,right_keywords,label,id
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']",1,256
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']",0,257
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",1,258
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['abbaspour-gilandeh y', 'aghabara a', 'davari m', 'maja jm']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['feasibility', 'of', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques', 'in', 'detection', 'of', 'some', 'apple', 'pests', 'and', 'diseases']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['apple capsid', 'apple russeting', 'early detection', 'image processing', 'pest', 'sparse coding']",1,259
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,260
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",1,261
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['uryasheva a', 'kalashnikova a', 'shadrin d', 'evteeva k', 'moskovtsev e', 'rodichenko n']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['computer', 'vision-based', 'platform', 'for', 'apple', 'leaves', 'segmentation', 'in', 'field', 'conditions', 'to', 'support', 'digital', 'phenotyping']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'image processing', 'plant disease detection', 'precision agriculture', 'remote sensing']",0,262
"['fernandes af', 'dórea jr', 'rosa gj']",['tombe r'],"['image', 'analysis', 'and', 'computer', 'vision', 'applications', 'in', 'animal', 'sciences:', 'an', 'overview']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['automation', 'computer vision', 'high-throughput phenotyping', 'imaging', 'livestock', 'phenotyping', 'precision livestock', 'sensors']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",0,263
['tombe r'],"['muñoz jp', 'boger r', 'dexter s', 'low r']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']",0,264
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['vij r', 'arora s']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",1,265
"['sánchez-brau m', 'domenech-amigot b', 'brocal-fernández f', 'quesada-rico ja', 'seguí-crespo m']","['adane f', 'alamneh ym', 'desta m']","['prevalence', 'of', 'computer', 'vision', 'syndrome', 'and', 'its', 'relationship', 'with', 'ergonomic', 'and', 'individual', 'factors', 'in', 'presbyopic', 'vdt', 'workers', 'using', 'progressive', 'addition', 'lenses']","['computer', 'vision', 'syndrome', 'and', 'predictors', 'among', 'computer', 'users', 'in', 'ethiopia:', 'a', 'systematic', 'review', 'and', 'meta-analysis']","['computer vision syndrome', 'ergonomics', 'presbyopia', 'progressive addition lenses', 'video display terminals', 'workplace']","['bankers', 'cvs', 'computer vision syndrome', 'employees', 'meta-analysis and ethiopia', 'secretaries', 'system review']",1,266
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['computer vision', 'medical entomology', 'ticks']",1,267
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",0,268
"['vinitha v', 'velantina v']","['khan aa', 'laghari aa', 'awan sa']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer vision', 'deep learning', 'opencv']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']",0,269
['tombe r'],"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",1,270
"['tripathi mk', 'maktedar dd']","['gazzah s', 'bencharef o']","['a', 'role', 'of', 'computer', 'vision', 'in', 'fruits', 'and', 'vegetables', 'among', 'various', 'horticulture', 'products', 'of', 'agriculture', 'fields:', 'a', 'survey']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['agriculture', 'computer vision', 'data-analysis', 'defect detection', 'descriptor', 'monitoring', 'pre-processing', 'survey']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']",0,271
"['tripathi mk', 'maktedar dd']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['a', 'role', 'of', 'computer', 'vision', 'in', 'fruits', 'and', 'vegetables', 'among', 'various', 'horticulture', 'products', 'of', 'agriculture', 'fields:', 'a', 'survey']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['agriculture', 'computer vision', 'data-analysis', 'defect detection', 'descriptor', 'monitoring', 'pre-processing', 'survey']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']",0,272
"['luo c', 'pearson p', 'xu g', 'rich sm']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['computer vision', 'medical entomology', 'ticks']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",1,273
"['jorquera-chavez m', 'fuentes s', 'dunshea fr', 'warner rd', 'poblete t', 'unnithan rr', 'morrison rs', 'jongman ec']","['abbaspour-gilandeh y', 'aghabara a', 'davari m', 'maja jm']","['using', 'imagery', 'and', 'computer', 'vision', 'as', 'remote', 'monitoring', 'methods', 'for', 'early', 'detection', 'of', 'respiratory', 'disease', 'in', 'pigs']","['feasibility', 'of', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques', 'in', 'detection', 'of', 'some', 'apple', 'pests', 'and', 'diseases']","['animal health', 'animal monitoring', 'contactless monitoring', 'non-invasive methods', 'physiological indicators']","['apple capsid', 'apple russeting', 'early detection', 'image processing', 'pest', 'sparse coding']",0,274
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'machine perception', 'medicine']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,275
"['khemasuwan d', 'sorensen js', 'colt hg']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",0,276
"['deepan p', 'sudha lr']","['vo tt', 'ko h', 'huh jh', 'kim y']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['overview', 'of', 'smart', 'aquaculture', 'system:', 'focusing', 'on', 'applications', 'of', 'machine', 'learning', 'and', 'computer', 'vision']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']","['ai', 'application', 'artificial intelligent', 'machine learning', 'smart aquaculture']",0,277
"['khemasuwan d', 'sorensen js', 'colt hg']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']",0,278
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['bhargava a', 'bansal a']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",0,279
"['khemasuwan d', 'sorensen js', 'colt hg']","['ouhami m', 'hafiane a', 'es-saady y', 'el hajji m', 'canals r']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['computer', 'vision,', 'iot', 'and', 'data', 'fusion', 'for', 'crop', 'disease', 'detection', 'using', 'machine', 'learning:', 'a', 'survey', 'and', 'ongoing', 'research']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['data fusion', 'intelligent sensors', 'machine learning', 'plant disease', 'remote sensing']",0,280
"['khemasuwan d', 'sorensen js', 'colt hg']","['meske c', 'bunde e']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']",1,281
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['tripathi mk', 'maktedar dd']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['a', 'role', 'of', 'computer', 'vision', 'in', 'fruits', 'and', 'vegetables', 'among', 'various', 'horticulture', 'products', 'of', 'agriculture', 'fields:', 'a', 'survey']","['covid-19', 'computer vision', 'radiology']","['agriculture', 'computer vision', 'data-analysis', 'defect detection', 'descriptor', 'monitoring', 'pre-processing', 'survey']",0,282
"['gazzah s', 'bencharef o']","['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",0,283
['tombe r'],"['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'medical entomology', 'ticks']",0,284
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['covid-19', 'computer vision', 'radiology']",0,285
"['gazzah s', 'bencharef o']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",0,286
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['alguliyev r', 'imamverdiyev y', 'sukhostat l', 'bayramov r']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['plant', 'disease', 'detection', 'based', 'on', 'a', 'deep', 'model']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['deep learning', 'machine learning', 'plant disease identification', 'plant leaves']",0,287
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",0,288
"['khemasuwan d', 'sorensen js', 'colt hg']","['sood s', 'singh h']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']",0,289
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']",0,290
"['gazzah s', 'bencharef o']","['hassan h', 'ren z', 'zhao h', 'huang s', 'li d', 'xiang s', 'kang y', 'chen s', 'huang b']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['review', 'and', 'classification', 'of', 'ai-enabled', 'covid-19', 'ct', 'imaging', 'models', 'based', 'on', 'computer', 'vision', 'tasks']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']","['covid-19', 'covid-19 classification', 'covid-19 detection', 'covid-19 diagnosis', 'image segmentation']",1,291
"['olveres j', 'gonzález g', 'torres f', 'moreno-tagle jc', 'carbajal-degante e', 'valencia-rodríguez a', 'méndez-sánchez n', 'escalante- ramírez b']","['abbaspour-gilandeh y', 'aghabara a', 'davari m', 'maja jm']","['what', 'is', 'new', 'in', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'medical', 'image', 'analysis', 'applications']","['feasibility', 'of', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques', 'in', 'detection', 'of', 'some', 'apple', 'pests', 'and', 'diseases']","['artificial intelligence (ai)', 'cardiology', 'computer vision (cv)', 'gastroenterology', 'medical image analysis', 'microscopy', 'neurodegenerative disorders', 'oncology', 'respiratory diseases']","['apple capsid', 'apple russeting', 'early detection', 'image processing', 'pest', 'sparse coding']",0,292
"['bhargava a', 'bansal a']","['abbaspour-gilandeh y', 'aghabara a', 'davari m', 'maja jm']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['feasibility', 'of', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques', 'in', 'detection', 'of', 'some', 'apple', 'pests', 'and', 'diseases']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","['apple capsid', 'apple russeting', 'early detection', 'image processing', 'pest', 'sparse coding']",0,293
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['muñoz jp', 'boger r', 'dexter s', 'low r']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']",1,294
"['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,295
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",1,296
"['fernandes af', 'dórea jr', 'rosa gj']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['image', 'analysis', 'and', 'computer', 'vision', 'applications', 'in', 'animal', 'sciences:', 'an', 'overview']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['automation', 'computer vision', 'high-throughput phenotyping', 'imaging', 'livestock', 'phenotyping', 'precision livestock', 'sensors']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']",0,297
"['khan aa', 'laghari aa', 'awan sa']","['vij r', 'arora s']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,298
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['a', 'computer', 'vision', 'approach', 'to', 'identifying', 'ticks', 'related', 'to', 'lyme', 'disease']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",0,299
"['meske c', 'bunde e']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']",1,300
"['shao h', 'pu j', 'mu j']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['pig-posture', 'recognition', 'based', 'on', 'computer', 'vision:', 'dataset', 'and', 'exploration']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['agricultural automation', 'automated breeding', 'computer vision', 'pig posture', 'posture recognition']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,301
"['vo tt', 'ko h', 'huh jh', 'kim y']","['bhargava a', 'bansal a']","['overview', 'of', 'smart', 'aquaculture', 'system:', 'focusing', 'on', 'applications', 'of', 'machine', 'learning', 'and', 'computer', 'vision']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['ai', 'application', 'artificial intelligent', 'machine learning', 'smart aquaculture']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']",0,302
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",0,303
