Authors_l,Title_l,Keywords_l,Authors_raw_l,Title_raw_l,Keywords_raw_l,Authors_r,Title_r,Keywords_r,Authors_raw_r,Title_raw_r,Keywords_raw_r
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine"
"['meske c', 'bunde e']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","Meske C,Bunde E",Transparency and trust in human-AI-interaction: The role of model-agnostic explanations in computer vision-based decision support,"Artificial Intelligence,Computer Vision,Deep learning,Explainability,Healthcare,Trust",['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images"
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'and', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'for', 'integrated', 'anemia', 'and', 'sickle', 'cell', 'disease', 'screening']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"anemia,artificial neural network,computer vision,deep learning","['gazzah s', 'bencharef o']","['a', 'survey', 'on', 'how', 'computer', 'vision', 'can', 'response', 'to', 'urgent', 'need', 'to', 'contribute', 'in', 'covid-19', 'pandemics']","['cnn', 'covid-19', 'ct image', 'computer vision', 'x-ray image', 'coronavirus detection', 'deep learning']","Gazzah S,Bencharef O",A Survey on how computer vision can response to urgent need to contribute in COVID-19 pandemics,"CNN,COVID-19,CT image,Computer vision,X-ray image,coronavirus detection,deep learning"
"['tripathi mk', 'maktedar dd']","['a', 'role', 'of', 'computer', 'vision', 'in', 'fruits', 'and', 'vegetables', 'among', 'various', 'horticulture', 'products', 'of', 'agriculture', 'fields:', 'a', 'survey']","['agriculture', 'computer vision', 'data-analysis', 'defect detection', 'descriptor', 'monitoring', 'pre-processing', 'survey']","Tripathi MK,Maktedar DD",A role of computer vision in fruits and vegetables among various horticulture products of agriculture fields: A survey,"Agriculture,Computer vision,Data-analysis,Defect detection,Descriptor,Monitoring,Pre-processing,Survey","['alhasan as', 'aalam wa']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']","Alhasan AS,Aalam WA",Magnitude and Determinants of Computer Vision Syndrome Among Radiologists in Saudi Arabia: A National Survey,"Computer Vision Syndrome,Eyestrain,Occupational hazards,Radiologists,Saudi Arabia"
"['meske c', 'bunde e']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","Meske C,Bunde E",Transparency and trust in human-AI-interaction: The role of model-agnostic explanations in computer vision-based decision support,"Artificial Intelligence,Computer Vision,Deep learning,Explainability,Healthcare,Trust","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning"
"['sánchez-valerio mr', 'mohamed-noriega k', 'zamora-ginez i', 'duarte bg', 'vallejo-ruiz v']","['dry', 'eye', 'disease', 'association', 'with', 'computer', 'exposure', 'time', 'among', 'subjects', 'with', 'computer', 'vision', 'syndrome']","['computer vision syndrome', 'dry eye disease']","Sánchez-Valerio MR,Mohamed-Noriega K,Zamora-Ginez I,Duarte BG,Vallejo-Ruiz V",Dry eye disease association with computer exposure time among subjects with computer vision syndrome,"Computer vision syndrome,Dry eye disease","['adane f', 'alamneh ym', 'desta m']","['computer', 'vision', 'syndrome', 'and', 'predictors', 'among', 'computer', 'users', 'in', 'ethiopia:', 'a', 'systematic', 'review', 'and', 'meta-analysis']","['bankers', 'cvs', 'computer vision syndrome', 'employees', 'meta-analysis and ethiopia', 'secretaries', 'system review']","Adane F,Alamneh YM,Desta M",Computer vision syndrome and predictors among computer users in Ethiopia: a systematic review and meta-analysis,"Bankers,CVS,Computer vision syndrome,Employees,Meta-analysis and Ethiopia,Secretaries,System review"
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","Muñoz JP,Boger R,Dexter S,Low R",Mosquitoes and Public Health: Improving Data Validation of Citizen Science Contributions Using Computer Vision,"Citizen science,Computer vision,Mosquitoes,Public health,Vector-borne diseases","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'computer vision', 'radiology']","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision and radiology for COVID-19 detection,"COVID-19,Computer Vision,Radiology"
"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['a', 'computer', 'vision', 'based', 'food', 'recognition', 'approach', 'for', 'controlling', 'inflammation', 'to', 'enhance', 'quality', 'of', 'life', 'of', 'psoriasis', 'patients']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning","['luo c', 'pearson p', 'xu g', 'rich sm']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'medical entomology', 'ticks']","Luo C,Pearson P,Xu G,Rich SM",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer vision,Medical entomology,Ticks"
"['meske c', 'bunde e']","['transparency', 'and', 'trust', 'in', 'human-ai-interaction:', 'the', 'role', 'of', 'model-agnostic', 'explanations', 'in', 'computer', 'vision-based', 'decision', 'support']","['artificial intelligence', 'computer vision', 'deep learning', 'explainability', 'healthcare', 'trust']","Meske C,Bunde E",Transparency and trust in human-AI-interaction: The role of model-agnostic explanations in computer vision-based decision support,"Artificial Intelligence,Computer Vision,Deep learning,Explainability,Healthcare,Trust","['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"African swine fever,Artificial intelligence,Computer vision,Infectious disease"
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine","['vij r', 'arora s']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Vij R,Arora S",Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages"
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping"
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G",Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study,"Computer vision,Hypomimia,Parkinson disease,Telemedicine"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['alguliyev r', 'imamverdiyev y', 'sukhostat l', 'bayramov r']","['plant', 'disease', 'detection', 'based', 'on', 'a', 'deep', 'model']","['deep learning', 'machine learning', 'plant disease identification', 'plant leaves']","Alguliyev R,Imamverdiyev Y,Sukhostat L,Bayramov R",Plant disease detection based on a deep model,"Deep learning,Machine learning,Plant disease identification,Plant leaves"
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'technology', 'in', 'agricultural', 'automation', '—a', 'review']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","Tian H,Wang T,Liu Y,Qiao X,Li Y",Computer vision technology in agricultural automation —A review,"Agricultural automation,Computer vision,Image processing,Intelligent detection","['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv"
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine"
"['al tawil l', 'aldokhayel s', 'zeitouni l', 'qadoumi t', 'hussein s', 'ahamed ss']","['prevalence', 'of', 'self-reported', 'computer', 'vision', 'syndrome', 'symptoms', 'and', 'its', 'associated', 'factors', 'among', 'university', 'students']","['computer vision syndrome', 'saudi arabia', 'electronic devices', 'university students', 'vision problems']","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS",Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students,"Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","['adane f', 'alamneh ym', 'desta m']","['computer', 'vision', 'syndrome', 'and', 'predictors', 'among', 'computer', 'users', 'in', 'ethiopia:', 'a', 'systematic', 'review', 'and', 'meta-analysis']","['bankers', 'cvs', 'computer vision syndrome', 'employees', 'meta-analysis and ethiopia', 'secretaries', 'system review']","Adane F,Alamneh YM,Desta M",Computer vision syndrome and predictors among computer users in Ethiopia: a systematic review and meta-analysis,"Bankers,CVS,Computer vision syndrome,Employees,Meta-analysis and Ethiopia,Secretaries,System review"
"['khan aa', 'laghari aa', 'awan sa']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","Khan AA,Laghari AA,Awan SA",Machine Learning in Computer Vision: A Review,"Computer Vision,Feature Extraction,Machine Learning,Medical Imaging,Neural Network,Pattern Recognition,Supervised and Unsupervised Learning","['luo c', 'pearson p', 'xu g', 'rich sm']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'medical entomology', 'ticks']","Luo C,Pearson P,Xu G,Rich SM",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer vision,Medical entomology,Ticks"
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","['sood s', 'singh h']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Sood S,Singh H",Computer Vision and Machine Learning based approaches for Food Security: A Review,"Convolutional neural network,Deep learning,Food Ssecurity,Smart farming"
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M",A review on computer vision systems in monitoring of poultry: A welfare perspective,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G",Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study,"Computer vision,Hypomimia,Parkinson disease,Telemedicine"
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"Agriculture,Computer vision,Machine learning,Plant phenotyping"
"['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike","['luo c', 'pearson p', 'xu g', 'rich sm']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'medical entomology', 'ticks']","Luo C,Pearson P,Xu G,Rich SM",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer vision,Medical entomology,Ticks"
['tombe r'],"['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",Tombe R,Computer Vision for Smart Farming and Sustainable Agriculture,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine"
"['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"agriculture,computer vision,deep learning model,wheat disease","['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning"
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"African swine fever,Artificial intelligence,Computer vision,Infectious disease"
"['vinitha v', 'velantina v']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['computer vision', 'deep learning', 'opencv']","Vinitha V,Velantina V",Covid-19 Facemask Detection With Deep Learning and Computer Vision,"computer vision,deep learning,opencv","['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning"
"['bhargava a', 'bansal a']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Bhargava A,Bansal A",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",A Review on Computer Vision Technology for Physical Exercise Monitoring,"computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring"
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","['sood s', 'singh h']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Sood S,Singh H",Computer Vision and Machine Learning based approaches for Food Security: A Review,"Convolutional neural network,Deep learning,Food Ssecurity,Smart farming"
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Deep learning-enabled medical computer vision,"computer vision,machine perception,medicine","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"agriculture,computer vision,deep learning model,wheat disease"
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A critical review on computer vision and artificial intelligence in food industry,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply"
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",A Computer Vision Approach to Combat Lyme Disease,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['covid-19', 'computer vision', 'radiology']","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision and radiology for COVID-19 detection,"COVID-19,Computer Vision,Radiology"
