Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Flag,Pair of Article,Authors_l_raw,Authors_r_raw,Title_l_raw,Title_r_raw,Keywords_l_raw,Keywords_r_raw,Sim_Prefix,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['sood s', 'singh h']","['vij r', 'arora s']","['computer', 'vision', 'machine', 'learning', 'based', 'approaches', 'food', 'security', ':', 'review']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,116,"Sood S,Singh H","Vij R,Arora S",Computer Vision and Machine Learning based approaches for Food Security: A Review,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Convolutional neural network,Deep learning,Food Ssecurity,Smart farming","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.833333,0,0.222222,0.111111,0.111111
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'medical entomology', 'ticks']",0,118,"Punia R,Kumar L,Mujahid M,Rohilla R","Luo C,Pearson P,Xu G,Rich SM",Computer vision and radiology for COVID-19 detection,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"COVID-19,Computer Vision,Radiology","Computer vision,Medical entomology,Ticks",0.72,0,0.076923,0.2,0.092308
['tombe r'],"['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",0,120,Tombe R,"Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer Vision for Smart Farming and Sustainable Agriculture,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","agriculture,computer vision,deep learning model,wheat disease",0.73913,0,0.133333,0.111111,0.081481
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['computer vision', 'medical entomology', 'ticks']",1,126,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Luo C,Pearson P,Xu G,Rich SM",A Computer Vision Approach to Combat Lyme Disease,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Computer vision,Medical entomology,Ticks",0.782609,0,0.153846,0.142857,0.098901
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['covid-19', 'computer vision', 'radiology']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",0,128,"Punia R,Kumar L,Mujahid M,Rohilla R","Tian H,Wang T,Liu Y,Qiao X,Li Y",Computer vision and radiology for COVID-19 detection,Computer vision technology in agricultural automation â€”A review,"COVID-19,Computer Vision,Radiology","Agricultural automation,Computer vision,Image processing,Intelligent detection",0.708333,0,0.2,0.166667,0.122222
"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","['computer vision', 'medical entomology', 'ticks']",0,147,"Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F","Luo C,Pearson P,Xu G,Rich SM",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning","Computer vision,Medical entomology,Ticks",0.833333,0,0.1,0.142857,0.080952
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']",0,163,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM",A Computer Vision Approach to Combat Lyme Disease,Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","African swine fever,Artificial intelligence,Computer vision,Infectious disease",0.826087,0,0.105263,0.125,0.076754
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['covid-19', 'computer vision', 'radiology']",1,169,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Punia R,Kumar L,Mujahid M,Rohilla R",A Computer Vision Approach to Combat Lyme Disease,Computer vision and radiology for COVID-19 detection,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","COVID-19,Computer Vision,Radiology",0.73913,0,0.222222,0.142857,0.121693
"['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['computer', 'vision', 'approach', 'identifying', 'ticks', 'related', 'lyme', 'disease']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",0,183,"Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning","Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease",0.869565,0,0.166667,0.076923,0.081197
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['vij r', 'arora s']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['covid-19', 'computer vision', 'radiology']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",1,185,"Punia R,Kumar L,Mujahid M,Rohilla R","Vij R,Arora S",Computer vision and radiology for COVID-19 detection,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"COVID-19,Computer Vision,Radiology","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.75,0,0.133333,0.125,0.086111
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",0,190,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",A Computer Vision Approach to Combat Lyme Disease,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","agriculture,computer vision,deep learning model,wheat disease",0.708333,0,0.214286,0.125,0.113095
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,195,"Punia R,Kumar L,Mujahid M,Rohilla R","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Computer vision and radiology for COVID-19 detection,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"COVID-19,Computer Vision,Radiology","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.72,0,0.125,0.142857,0.089286
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['hassan h', 'ren z', 'zhao h', 'huang s', 'li d', 'xiang s', 'kang y', 'chen s', 'huang b']","['review', 'agricultural', 'advancement', 'based', 'computer', 'vision', 'machine', 'learning']","['review', 'classification', 'ai-enabled', 'covid-19', 'ct', 'imaging', 'models', 'based', 'computer', 'vision', 'tasks']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['covid-19', 'covid-19 classification', 'covid-19 detection', 'covid-19 diagnosis', 'image segmentation']",0,202,"Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Hassan H,Ren Z,Zhao H,Huang S,Li D,Xiang S,Kang Y,Chen S,Huang B",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Review and classification of AI-enabled COVID-19 CT imaging models based on computer vision tasks,"Agriculture,Computer vision,Machine learning,Plant phenotyping","COVID-19,COVID-19 classification,COVID-19 detection,COVID-19 diagnosis,Image segmentation",0.76,0,0.266667,0,0.088889
"['luo c', 'pearson p', 'xu g', 'rich sm']","['uryasheva a', 'kalashnikova a', 'shadrin d', 'evteeva k', 'moskovtsev e', 'rodichenko n']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer', 'vision-based', 'platform', 'apple', 'leaves', 'segmentation', 'field', 'conditions', 'support', 'digital', 'phenotyping']","['computer vision', 'medical entomology', 'ticks']","['computer vision', 'image processing', 'plant disease detection', 'precision agriculture', 'remote sensing']",0,206,"Luo C,Pearson P,Xu G,Rich SM","Uryasheva A,Kalashnikova A,Shadrin D,Evteeva K,Moskovtsev E,Rodichenko N",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,Computer vision-based platform for apple leaves segmentation in field conditions to support digital phenotyping,"Computer vision,Medical entomology,Ticks","Computer vision,Image processing,Plant disease detection,Precision agriculture,Remote sensing",0.913043,0,0.111111,0.142857,0.084656
"['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['vij r', 'arora s']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",0,210,"Aboneh T,Rorissa A,Srinivasagan R,Gemechu A","Vij R,Arora S",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"agriculture,computer vision,deep learning model,wheat disease","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.72,0,0.15,0.111111,0.087037
"['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['automated', 'computer', 'vision', 'assessment', 'hypomimia', 'parkinson', 'disease', ':', 'proof-of-principle', 'pilot', 'study']","['automatic', 'evaluation', 'wheat', 'resistance', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'computer', 'vision']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']",0,216,"Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study,Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"Computer vision,Hypomimia,Parkinson disease,Telemedicine","Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike",0.8,0,0.083333,0.125,0.069444
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']",1,218,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA",A Computer Vision Approach to Combat Lyme Disease,Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","anemia,artificial neural network,computer vision,deep learning",0.809524,0,0.1875,0.125,0.104167
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",0,233,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Tian H,Wang T,Liu Y,Qiao X,Li Y",A Computer Vision Approach to Combat Lyme Disease,Computer vision technology in agricultural automation â€”A review,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Agricultural automation,Computer vision,Image processing,Intelligent detection",0.772727,0,0.181818,0.125,0.102273
"['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['covid-19', 'computer vision', 'radiology']",0,240,"FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM","Punia R,Kumar L,Mujahid M,Rohilla R",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,Computer vision and radiology for COVID-19 detection,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","COVID-19,Computer Vision,Radiology",0.692308,0,0.111111,0.166667,0.092593
"['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['hridoy rh', 'akter f', 'mahfuzullah m', 'ferdowsy f']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer', 'vision', 'based', 'food', 'recognition', 'approach', 'controlling', 'inflammation', 'enhance', 'quality', 'life', 'psoriasis', 'patients']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['computer vision', 'deep learning', 'food recognition', 'psoriasis', 'transfer learning']",0,260,"FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM","Hridoy RH,Akter F,Mahfuzullah M,Ferdowsy F",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,A Computer Vision Based Food Recognition Approach for Controlling Inflammation to Enhance Quality of Life of Psoriasis Patients,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Computer Vision,Deep Learning,Food Recognition,Psoriasis,Transfer Learning",0.875,0,0.076923,0.125,0.067308
"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['computer', 'vision', 'framework', 'wheat', 'disease', 'identification', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']",1,261,"Tian H,Wang T,Liu Y,Qiao X,Li Y","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Computer vision technology in agricultural automation â€”A review,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"Agricultural automation,Computer vision,Image processing,Intelligent detection","agriculture,computer vision,deep learning model,wheat disease",0.75,0,0.125,0.142857,0.089286
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['uryasheva a', 'kalashnikova a', 'shadrin d', 'evteeva k', 'moskovtsev e', 'rodichenko n']","['computer', 'vision', 'radiology', 'covid-19', 'detection']","['computer', 'vision-based', 'platform', 'apple', 'leaves', 'segmentation', 'field', 'conditions', 'support', 'digital', 'phenotyping']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'image processing', 'plant disease detection', 'precision agriculture', 'remote sensing']",0,262,"Punia R,Kumar L,Mujahid M,Rohilla R","Uryasheva A,Kalashnikova A,Shadrin D,Evteeva K,Moskovtsev E,Rodichenko N",Computer vision and radiology for COVID-19 detection,Computer vision-based platform for apple leaves segmentation in field conditions to support digital phenotyping,"COVID-19,Computer Vision,Radiology","Computer vision,Image processing,Plant disease detection,Precision agriculture,Remote sensing",0.791667,0,0.066667,0.142857,0.069841
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['vij r', 'arora s']","['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'deep', 'learning', 'techniques', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging', ':', 'survey']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']",1,265,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Vij R,Arora S",A Computer Vision Approach to Combat Lyme Disease,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0.818182,0,0.125,0.1,0.075000
"['fernÃ¡ndez-carriÃ³n e', 'barasona jÃ¡', 'sÃ¡nchez Ã¡', 'jurado c', 'cadenas-fernÃ¡ndez e', 'sÃ¡nchez-vizcaÃ­no jm']","['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'applied', 'detect', 'lethargy', 'animal', 'motion', 'monitoring', ':', 'trial', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['computer vision', 'medical entomology', 'ticks']",1,267,"FernÃ¡ndez-CarriÃ³n E,Barasona JÃ,SÃ¡nchez Ã,Jurado C,Cadenas-FernÃ¡ndez E,SÃ¡nchez-VizcaÃ­no JM","Luo C,Pearson P,Xu G,Rich SM",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Computer vision,Medical entomology,Ticks",0.8,0,0.043478,0.166667,0.070048
['tombe r'],"['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",1,270,Tombe R,"Tian H,Wang T,Liu Y,Qiao X,Li Y",Computer Vision for Smart Farming and Sustainable Agriculture,Computer vision technology in agricultural automation â€”A review,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Agricultural automation,Computer vision,Image processing,Intelligent detection",0.727273,0,0.181818,0.111111,0.097643
"['luo c', 'pearson p', 'xu g', 'rich sm']","['akbarian s', 'nelder mp', 'russell cb', 'cawston t', 'moreno l', 'patel sn', 'allen vg', 'dolatabadi e']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer', 'vision', 'approach', 'identifying', 'ticks', 'related', 'lyme', 'disease']","['computer vision', 'medical entomology', 'ticks']","['computer vision', 'ixodes scapularis', 'lyme disease', 'convolution neural network', 'infectious disease', 'knowledge transfer', 'public health', 'surveillance', 'vector-borne disease']",1,273,"Luo C,Pearson P,Xu G,Rich SM","Akbarian S,Nelder MP,Russell CB,Cawston T,Moreno L,Patel SN,Allen VG,Dolatabadi E",A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,A Computer Vision Approach to Identifying Ticks Related to Lyme Disease,"Computer vision,Medical entomology,Ticks","Computer vision,Ixodes scapularis,Lyme disease,convolution neural network,infectious disease,knowledge transfer,public health,surveillance,vector-borne disease",0.869565,0,0.133333,0.090909,0.074747
['tombe r'],"['luo c', 'pearson p', 'xu g', 'rich sm']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer', 'vision-based', 'approach', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'medical entomology', 'ticks']",0,284,Tombe R,"Luo C,Pearson P,Xu G,Rich SM",Computer Vision for Smart Farming and Sustainable Agriculture,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Computer vision,Medical entomology,Ticks",0.818182,0,0.071429,0.125,0.065476
"['an r', 'man y', 'iram s', 'kucukal e', 'hasan mn', 'solis-fuentes a', 'bode a', 'hill a', 'cheng k', 'huang y', 'ahuja s', 'little ja', 'hinczewski m', 'gurkan ua']","['tian h', 'wang t', 'liu y', 'qiao x', 'li y']","['computer', 'vision', 'deep', 'learning', 'assisted', 'microchip', 'electrophoresis', 'integrated', 'anemia', 'sickle', 'cell', 'disease', 'screening']","['computer', 'vision', 'technology', 'agricultural', 'automation', 'â€”a', 'review']","['anemia', 'artificial neural network', 'computer vision', 'deep learning']","['agricultural automation', 'computer vision', 'image processing', 'intelligent detection']",0,288,"An R,Man Y,Iram S,Kucukal E,Hasan MN,Solis-Fuentes A,Bode A,Hill A,Cheng K,Huang Y,Ahuja S,Little JA,Hinczewski M,Gurkan UA","Tian H,Wang T,Liu Y,Qiao X,Li Y",Computer Vision and Deep Learning Assisted Microchip Electrophoresis for Integrated Anemia and Sickle Cell Disease Screening,Computer vision technology in agricultural automation â€”A review,"anemia,artificial neural network,computer vision,deep learning","Agricultural automation,Computer vision,Image processing,Intelligent detection",0.772727,0,0.111111,0.142857,0.084656
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']",['tombe r'],"['computer', 'vision', 'approach', 'combat', 'lyme', 'disease']","['computer', 'vision', 'smart', 'farming', 'sustainable', 'agriculture']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']",0,306,"Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E",Tombe R,A Computer Vision Approach to Combat Lyme Disease,Computer Vision for Smart Farming and Sustainable Agriculture,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","big data processing,computer vision,deep learning,drones,machine learning,remote sensing images",0.761905,0,0.2,0.1,0.100000
