Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"TM Ward, P Mascagni, Y Ban, G Rosman, N Padoy…","Computer vision in surgery",2021,"Surgery","Elsevier","https://www.sciencedirect.com/science/article/pii/S0039606020307492","https://scholar.google.com/scholar?cites=1362351766501120043&as_sdt=2005&sciodt=2007&hl=en",41,"2023-02-21 11:50:24","HTML","","","",,,,,53,26.50,9,6,2,"… Research instead taught computers surgery indirectly with machine learning (ML) … Recent advancements in computer vision (CV) have used deep learning to give computers human-like …","https://www.sciencedirect.com/science/article/pii/S0039606020307492","https://scholar.google.com/scholar?q=related:K9hsrbYL6BIJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
271,"MH Guo, TX Xu, JJ Liu, ZN Liu, PT Jiang, TJ Mu…","Attention mechanisms in computer vision: A survey",2022,"Computational Visual …","Springer","https://link.springer.com/article/10.1007/s41095-022-0271-y","https://scholar.google.com/scholar?cites=15456065911372617945&as_sdt=2005&sciodt=2007&hl=en",42,"2023-02-21 11:50:24","HTML","10.1007/s41095-022-0271-y","","",,,,,271,271.00,39,7,1,"Humans can naturally and effectively find salient regions in complex scenes. Motivated by this observation, attention mechanisms were introduced into computer vision with the aim of …","https://link.springer.com/article/10.1007/s41095-022-0271-y","https://scholar.google.com/scholar?q=related:2ZhjgA76ftYJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
469,"R Klette","Concise computer vision",2014,"","Springer","https://link.springer.com/content/pdf/10.1007/978-1-4471-6320-6.pdf","https://scholar.google.com/scholar?cites=11844456313734208864&as_sdt=2005&sciodt=2007&hl=en",43,"2023-02-21 11:50:24","BOOK","10.1007/978-1-4471-6320-6","","",,,,,469,52.11,469,1,9,"… In computer vision we may want to know how far away a building is to a camera, whether a vehicle drives in the middle of its lane, how many people are in a scene, or we even want …","https://www.academia.edu/download/36064469/concise_computer_vision.pdf","https://scholar.google.com/scholar?q=related:YJ3CQUP2X6QJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
531,"DW Sun","Computer vision technology for food quality evaluation",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=cM8cCwAAQBAJ&oi=fnd&pg=PP1&dq=computer+vision&ots=doY9SA8Bll&sig=eQRK25219kUHbOCHrDgeVxQWIRc","https://scholar.google.com/scholar?cites=3399089315830795457&as_sdt=2005&sciodt=2007&hl=en",44,"2023-02-21 11:50:24","BOOK","","","",,,,,531,75.86,531,1,7,"… developments in computer vision technology, and … computer vision technology is, what it can do, and how to apply it for food quality evaluation Includes a wide variety of computer vision …","","https://scholar.google.com/scholar?q=related:wYzrPbn9Ky8J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
243,"Y Ke, D Hoiem, R Sukthankar","Computer vision for music identification",2005,"… Conference on Computer Vision …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1467322/","https://scholar.google.com/scholar?cites=8511035354992924196&as_sdt=2005&sciodt=2007&hl=en",45,"2023-02-21 11:50:24","","","","",,,,,243,13.50,81,3,18,"… iar 2-D computer vision problems. … computer vision ideas have immediate applicability and direct relevance to many other domains and hope that this paper encourages computer vision …","https://ieeexplore.ieee.org/iel5/9901/31472/01467322.pdf","https://scholar.google.com/scholar?q=related:JNYk3Y9FHXYJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
366,"G Bradski, A Kaehler, V Pisarevsky","Learning-based computer vision with intel's open source computer vision library.",2005,"Intel technology journal","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=1535864X&AN=17208536&h=uPJno4iDXiQZ%2FM7%2FCaih3vtF4rNnQx0baZqhSnK9TOqazNEe653bWy2AeVUv91vAzcXM6ybys7JBIKNl9ijwKg%3D%3D&crl=c","https://scholar.google.com/scholar?cites=1497175765973670975&as_sdt=2005&sciodt=2007&hl=en",46,"2023-02-21 11:50:24","","","","",,,,,366,20.33,122,3,18,"… In this paper, we describe computer vision routines based on learning. Learning-based vision has applications to image-based Web mining, image retrieval, video indexing, security, etc…","","https://scholar.google.com/scholar?q=related:PxwvQW0JxxQJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
187,"RM Haralick","Performance characterization in computer vision",1992,"… of the British Machine Vision Conference, organised by …","Springer","https://link.springer.com/chapter/10.1007/978-1-4471-3201-1_1","https://scholar.google.com/scholar?cites=2099505329022773839&as_sdt=2005&sciodt=2007&hl=en",47,"2023-02-21 11:50:24","","10.1007/978-1-4471-3201-1_1","","",,,,,187,6.03,187,1,31,"… vision systems. This suggests that there has been a cultural deficiency in the computer vision community: computer vision … a computer vision task. Performance was a secondary issue. …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=3ebcfd7bf397d672e3f9880c64b6141c8bdd0330","https://scholar.google.com/scholar?q=related:TypxHPnwIh0J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
95,"L Shapiro","Computer vision and image processing",1992,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=HpQLbBL9ENkC&oi=fnd&pg=PP1&dq=computer+vision&ots=4d0RvRF3XM&sig=2XoEgbCZU6DYpSFGaHhgb64Ddxs","https://scholar.google.com/scholar?cites=16737991620086237384&as_sdt=2005&sciodt=2007&hl=en",48,"2023-02-21 11:50:24","BOOK","","","",,,,,95,3.06,95,1,31,"… Computer Vision, Graphics, and Image Processing volume covering a large variety of vision-… This part also discusses the automatic control of low-level robot vision, presents an image …","","https://scholar.google.com/scholar?q=related:yIi0YLJKSegJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
645,"KA Tarabanis, PK Allen, RY Tsai","A survey of sensor planning in computer vision",1995,"IEEE transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/345940/","https://scholar.google.com/scholar?cites=1122408272018010514&as_sdt=2005&sciodt=2007&hl=en",49,"2023-02-21 11:50:24","","","","",,,,,645,23.04,215,3,28,"… .) have been employed in several vision systems, illumination planning has been overlooked … Sensor planning is pertinent to a number of areas of robotics and computer vision that have …","https://ieeexplore.ieee.org/iel4/70/8034/00345940.pdf","https://scholar.google.com/scholar?q=related:kvGXamCYkw8J:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
32209,"R Hartley, A Zisserman","Multiple view geometry in computer vision",2003,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=si3R3Pfa98QC&oi=fnd&pg=PR11&dq=computer+vision&ots=aTv2it6a6J&sig=7kvAQtIR7HLlLrh3tFp_ANGbN4Q","https://scholar.google.com/scholar?cites=10911902169696170778&as_sdt=2005&sciodt=2007&hl=en",50,"2023-02-21 11:50:24","BOOK","","","",,,,,32209,1610.45,16105,2,20,"… connections to mathematics and computer science and looser connections … Computer Vision algorithms after biological ones, but the fact of the matter is that (i) the way biological vision …","https://cseweb.ucsd.edu/classes/sp13/cse252B-a/HZ2eCh2.pdf","https://scholar.google.com/scholar?q=related:GvONqDXdbpcJ:scholar.google.com/&scioq=computer+vision&hl=en&as_sdt=2007"
