Authors_l,Authors_r,Title_l,Title_r,Keywords_l,Keywords_r,Authors_raw_l,Authors_raw_r,Title_raw_l,Title_raw_r,Keywords_raw_l,Keywords_raw_r,Flag,Pair of Article,Sim_Authors,Sim_Title,Sim_Keywords,Similarity
"['khan aa', 'laghari aa', 'awan sa']","['luo c', 'pearson p', 'xu g', 'rich sm']","['machine', 'learning', 'in', 'computer', 'vision:', 'a', 'review']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'feature extraction', 'machine learning', 'medical imaging', 'neural network', 'pattern recognition', 'supervised and unsupervised learning']","['computer vision', 'medical entomology', 'ticks']","Khan AA,Laghari AA,Awan SA","Luo C,Pearson P,Xu G,Rich SM",Machine Learning in Computer Vision: A Review,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer Vision,Feature Extraction,Machine Learning,Medical Imaging,Neural Network,Pattern Recognition,Supervised and Unsupervised Learning","Computer vision,Medical entomology,Ticks",0,156,0.0,0.2,0.1111111111111111,0.13555555555555557
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['sood s', 'singh h']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Sood S,Singh H",A review on computer vision systems in monitoring of poultry: A welfare perspective,Computer Vision and Machine Learning based approaches for Food Security: A Review,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming",0,157,0.0,0.2,0.1111111111111111,0.13555555555555557
"['okinda c', 'nyalala i', 'korohou t', 'okinda c', 'wang j', 'achieng t', 'wamalwa p', 'mang t', 'shen m']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['a', 'review', 'on', 'computer', 'vision', 'systems', 'in', 'monitoring', 'of', 'poultry:', 'a', 'welfare', 'perspective']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['computer vision', 'deep learning', 'machine learning', 'monitoring', 'poultry', 'welfare']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","Okinda C,Nyalala I,Korohou T,Okinda C,Wang J,Achieng T,Wamalwa P,Mang T,Shen M","Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G",A review on computer vision systems in monitoring of poultry: A welfare perspective,Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study,"Computer vision,Deep learning,Machine learning,Monitoring,Poultry,Welfare","Computer vision,Hypomimia,Parkinson disease,Telemedicine",0,158,0.0,0.2,0.1111111111111111,0.13555555555555557
"['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S",Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"African swine fever,Artificial intelligence,Computer vision,Infectious disease","Agriculture,Computer vision,Machine learning,Plant phenotyping",0,159,0.0,0.16,0.14285714285714285,0.13542857142857143
"['sood s', 'singh h']","['devi n', 'sarma kk', 'laskar s']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['design', 'of', 'an', 'intelligent', 'bean', 'cultivation', 'approach', 'using', 'computer', 'vision,', 'iot', 'and', 'spatio-temporal', 'deep', 'learning', 'structures']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","['artificial intelligence', 'convolution neural network', 'learning based system', 'smart farming']","Sood S,Singh H","Devi N,Sarma KK,Laskar S",Computer Vision and Machine Learning based approaches for Food Security: A Review,"Design of an intelligent bean cultivation approach using computer vision, IoT and spatio-temporal deep learning structures","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming","Artificial intelligence,Convolution neural network,Learning based system,Smart farming",1,236,0.0,0.16,0.14285714285714285,0.13542857142857143
"['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['luo c', 'pearson p', 'xu g', 'rich sm']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['a', 'computer', 'vision-based', 'approach', 'for', 'tick', 'identification', 'using', 'deep', 'learning', 'models']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","['computer vision', 'medical entomology', 'ticks']","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ","Luo C,Pearson P,Xu G,Rich SM",Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,A Computer Vision-Based Approach for Tick Identification Using Deep Learning Models,"Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike","Computer vision,Medical entomology,Ticks",0,160,0.0,0.16,0.14285714285714285,0.13542857142857143
['tombe r'],"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['computer vision', 'machine perception', 'medicine']",Tombe R,"Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R",Computer Vision for Smart Farming and Sustainable Agriculture,Deep learning-enabled medical computer vision,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","computer vision,machine perception,medicine",0,161,0.0,0.18181818181818182,0.125,0.13522727272727275
"['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['bhargava a', 'bansal a']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A","Bhargava A,Bansal A",Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"agriculture,computer vision,deep learning model,wheat disease","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",0,162,0.0,0.18181818181818182,0.125,0.13522727272727275
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['fernández-carrión e', 'barasona já', 'sánchez á', 'jurado c', 'cadenas-fernández e', 'sánchez-vizcaíno jm']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer', 'vision', 'applied', 'to', 'detect', 'lethargy', 'through', 'animal', 'motion', 'monitoring:', 'a', 'trial', 'on', 'african', 'swine', 'fever', 'inwild', 'boar']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['african swine fever', 'artificial intelligence', 'computer vision', 'infectious disease']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Fernández-Carrión E,Barasona JÁ,Sánchez Á,Jurado C,Cadenas-Fernández E,Sánchez-Vizcaíno JM",A Computer Vision Approach to Combat Lyme Disease,Computer vision applied to detect lethargy through animal motion monitoring: A trial on african swine fever inwild boar,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","African swine fever,Artificial intelligence,Computer vision,Infectious disease",0,163,0.0,0.18181818181818182,0.125,0.13522727272727275
"['vinitha v', 'velantina v']","['bhargava a', 'bansal a']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['computer vision', 'deep learning', 'opencv']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Vinitha V,Velantina V","Bhargava A,Bansal A",Covid-19 Facemask Detection With Deep Learning and Computer Vision,Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"computer vision,deep learning,opencv","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",1,164,0.0,0.15789473684210525,0.14285714285714285,0.13458646616541353
"['bhargava a', 'bansal a']","['khanal sr', 'paulino d', 'sampaio j', 'barroso j', 'reis a', 'filipe v']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['a', 'review', 'on', 'computer', 'vision', 'technology', 'for', 'physical', 'exercise', 'monitoring']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","['computer vision', 'contactless technology', 'deep learning', 'exercise monitoring', 'physical activity', 'vital sign monitoring']","Bhargava A,Bansal A","Khanal SR,Paulino D,Sampaio J,Barroso J,Reis A,Filipe V",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,A Review on Computer Vision Technology for Physical Exercise Monitoring,"COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning","computer vision,contactless technology,deep learning,exercise monitoring,physical activity,vital sign monitoring",0,165,0.0,0.21052631578947367,0.1,0.13421052631578947
"['khemasuwan d', 'sorensen js', 'colt hg']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Khemasuwan D,Sorensen JS,Colt HG","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","Artificial intelligence in pulmonary medicine: Computer vision, predictive model and covid-19",A critical review on computer vision and artificial intelligence in food industry,"artificial intelligent,deep learning,machine learning,pulmonary specialist","Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply",0,278,0.0,0.3333333333333333,0.0,0.13333333333333333
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['sood s', 'singh h']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['computer', 'vision', 'and', 'machine', 'learning', 'based', 'approaches', 'for', 'food', 'security:', 'a', 'review']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['convolutional neural network', 'deep learning', 'food ssecurity', 'smart farming']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","Sood S,Singh H",A critical review on computer vision and artificial intelligence in food industry,Computer Vision and Machine Learning based approaches for Food Security: A Review,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming",1,166,0.0,0.3333333333333333,0.0,0.13333333333333333
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['computer vision', 'machine perception', 'medicine']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Deep learning-enabled medical computer vision,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"computer vision,machine perception,medicine","agriculture,computer vision,deep learning model,wheat disease",0,167,0.0,0.125,0.16666666666666666,0.13333333333333333
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR",A Computer Vision Approach to Combat Lyme Disease,A critical review on computer vision and artificial intelligence in food industry,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply",0,168,0.0,0.17647058823529413,0.125,0.13308823529411767
"['akbarian s', 'cawston t', 'moreno l', 'patel s', 'allen v', 'dolatabadi e']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['a', 'computer', 'vision', 'approach', 'to', 'combat', 'lyme', 'disease']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['computer vision', 'convolution neural network', 'ixodes', 'knowledge transfer', 'lyme disease']","['covid-19', 'computer vision', 'radiology']","Akbarian S,Cawston T,Moreno L,Patel S,Allen V,Dolatabadi E","Punia R,Kumar L,Mujahid M,Rohilla R",A Computer Vision Approach to Combat Lyme Disease,Computer vision and radiology for COVID-19 detection,"Computer Vision,Convolution Neural Network,Ixodes,Knowledge Transfer,Lyme disease","COVID-19,Computer Vision,Radiology",1,169,0.0,0.15384615384615385,0.14285714285714285,0.13296703296703297
"['sánchez-brau m', 'domenech-amigot b', 'brocal-fernández f', 'quesada-rico ja', 'seguí-crespo m']","['alhasan as', 'aalam wa']","['prevalence', 'of', 'computer', 'vision', 'syndrome', 'and', 'its', 'relationship', 'with', 'ergonomic', 'and', 'individual', 'factors', 'in', 'presbyopic', 'vdt', 'workers', 'using', 'progressive', 'addition', 'lenses']","['magnitude', 'and', 'determinants', 'of', 'computer', 'vision', 'syndrome', 'among', 'radiologists', 'in', 'saudi', 'arabia:', 'a', 'national', 'survey']","['computer vision syndrome', 'ergonomics', 'presbyopia', 'progressive addition lenses', 'video display terminals', 'workplace']","['computer vision syndrome', 'eyestrain', 'occupational hazards', 'radiologists', 'saudi arabia']","Sánchez-Brau M,Domenech-Amigot B,Brocal-Fernández F,Quesada-Rico JA,Seguí-Crespo M","Alhasan AS,Aalam WA",Prevalence of Computer Vision Syndrome and Its Relationship with Ergonomic and Individual Factors in Presbyopic VDT Workers Using Progressive Addition Lenses,Magnitude and Determinants of Computer Vision Syndrome Among Radiologists in Saudi Arabia: A National Survey,"computer vision syndrome,ergonomics,presbyopia,progressive addition lenses,video display terminals,workplace","Computer Vision Syndrome,Eyestrain,Occupational hazards,Radiologists,Saudi Arabia",1,170,0.0,0.20689655172413793,0.1,0.13275862068965516
"['ouhami m', 'hafiane a', 'es-saady y', 'el hajji m', 'canals r']","['bhargava a', 'bansal a']","['computer', 'vision,', 'iot', 'and', 'data', 'fusion', 'for', 'crop', 'disease', 'detection', 'using', 'machine', 'learning:', 'a', 'survey', 'and', 'ongoing', 'research']","['novel', 'coronavirus', '(covid-19)', 'diagnosis', 'using', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'techniques:', 'a', 'review']","['data fusion', 'intelligent sensors', 'machine learning', 'plant disease', 'remote sensing']","['covid-19', 'computed tomography', 'computer vision', 'coronavirus', 'machine learning']","Ouhami M,Hafiane A,Es-Saady Y,El Hajji M,Canals R","Bhargava A,Bansal A","Computer vision, IoT and data fusion for crop disease detection using machine learning: A survey and ongoing research",Novel coronavirus (COVID-19) diagnosis using computer vision and artificial intelligence techniques: a review,"Data fusion,Intelligent sensors,Machine learning,Plant disease,Remote sensing","COVID-19,Computed tomography,Computer vision,Coronavirus,Machine learning",0,242,0.0,0.19230769230769232,0.1111111111111111,0.13247863247863248
"['vij r', 'arora s']","['devi n', 'sarma kk', 'laskar s']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['design', 'of', 'an', 'intelligent', 'bean', 'cultivation', 'approach', 'using', 'computer', 'vision,', 'iot', 'and', 'spatio-temporal', 'deep', 'learning', 'structures']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","['artificial intelligence', 'convolution neural network', 'learning based system', 'smart farming']","Vij R,Arora S","Devi N,Sarma KK,Laskar S",Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Design of an intelligent bean cultivation approach using computer vision, IoT and spatio-temporal deep learning structures","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages","Artificial intelligence,Convolution neural network,Learning based system,Smart farming",0,243,0.0,0.19230769230769232,0.1111111111111111,0.13247863247863248
"['kakani v', 'nguyen h', 'kumar bp', 'kim h', 'pasupuleti vr']","['tripathi mk', 'maktedar dd']","['a', 'critical', 'review', 'on', 'computer', 'vision', 'and', 'artificial', 'intelligence', 'in', 'food', 'industry']","['a', 'role', 'of', 'computer', 'vision', 'in', 'fruits', 'and', 'vegetables', 'among', 'various', 'horticulture', 'products', 'of', 'agriculture', 'fields:', 'a', 'survey']","['artificial intelligence', 'autonomous navigation', 'computer vision', 'sustainable food supply']","['agriculture', 'computer vision', 'data-analysis', 'defect detection', 'descriptor', 'monitoring', 'pre-processing', 'survey']","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","Tripathi MK,Maktedar DD",A critical review on computer vision and artificial intelligence in food industry,A role of computer vision in fruits and vegetables among various horticulture products of agriculture fields: A survey,"Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","Agriculture,Computer vision,Data-analysis,Defect detection,Descriptor,Monitoring,Pre-processing,Survey",1,171,0.0,0.21739130434782608,0.09090909090909091,0.1324110671936759
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['aboneh t', 'rorissa a', 'srinivasagan r', 'gemechu a']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['computer', 'vision', 'framework', 'for', 'wheat', 'disease', 'identification', 'and', 'classification', 'using', 'jetson', 'gpu', 'infrastructure']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","['agriculture', 'computer vision', 'deep learning model', 'wheat disease']","Muñoz JP,Boger R,Dexter S,Low R","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A",Mosquitoes and Public Health: Improving Data Validation of Citizen Science Contributions Using Computer Vision,Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure,"Citizen science,Computer vision,Mosquitoes,Public health,Vector-borne diseases","agriculture,computer vision,deep learning model,wheat disease",0,172,0.0,0.17391304347826086,0.125,0.13206521739130433
"['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['vij r', 'arora s']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Vij R,Arora S",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Agriculture,Computer vision,Machine learning,Plant phenotyping","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0,173,0.0,0.19047619047619047,0.1111111111111111,0.13174603174603175
"['muñoz jp', 'boger r', 'dexter s', 'low r']","['vinitha v', 'velantina v']","['mosquitoes', 'and', 'public', 'health:', 'improving', 'data', 'validation', 'of', 'citizen', 'science', 'contributions', 'using', 'computer', 'vision']","['covid-19', 'facemask', 'detection', 'with', 'deep', 'learning', 'and', 'computer', 'vision']","['citizen science', 'computer vision', 'mosquitoes', 'public health', 'vector-borne diseases']","['computer vision', 'deep learning', 'opencv']","Muñoz JP,Boger R,Dexter S,Low R","Vinitha V,Velantina V",Mosquitoes and Public Health: Improving Data Validation of Citizen Science Contributions Using Computer Vision,Covid-19 Facemask Detection With Deep Learning and Computer Vision,"Citizen science,Computer vision,Mosquitoes,Public health,Vector-borne diseases","computer vision,deep learning,opencv",1,174,0.0,0.15,0.14285714285714285,0.13142857142857142
"['esteva a', 'chou k', 'yeung s', 'naik n', 'madani a', 'mottaghi a', 'liu y', 'topol e', 'dean j', 'socher r']","['su wh', 'zhang j', 'yang c', 'page r', 'szinyei t', 'hirsch cd', 'steffenson bj']","['deep', 'learning-enabled', 'medical', 'computer', 'vision']","['automatic', 'evaluation', 'of', 'wheat', 'resistance', 'to', 'fusarium', 'head', 'blight', 'using', 'dual', 'mask-rcnn', 'deep', 'learning', 'frameworks', 'in', 'computer', 'vision']","['computer vision', 'machine perception', 'medicine']","['computer vision', 'deep learning', 'fusarium head blight', 'target recognition', 'wheat spike']","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R","Su WH,Zhang J,Yang C,Page R,Szinyei T,Hirsch CD,Steffenson BJ",Deep learning-enabled medical computer vision,Automatic evaluation of wheat resistance to fusarium head blight using dual mask-rcnn deep learning frameworks in computer vision,"computer vision,machine perception,medicine","Computer vision,Deep learning,Fusarium head blight,Target recognition,Wheat spike",0,175,0.0,0.15,0.14285714285714285,0.13142857142857142
"['khemasuwan d', 'sorensen js', 'colt hg']","['paul a', 'ghosh s', 'das ak', 'goswami s', 'das choudhury s', 'sen s']","['artificial', 'intelligence', 'in', 'pulmonary', 'medicine:', 'computer', 'vision,', 'predictive', 'model', 'and', 'covid-19']","['a', 'review', 'on', 'agricultural', 'advancement', 'based', 'on', 'computer', 'vision', 'and', 'machine', 'learning']","['artificial intelligent', 'deep learning', 'machine learning', 'pulmonary specialist']","['agriculture', 'computer vision', 'machine learning', 'plant phenotyping']","Khemasuwan D,Sorensen JS,Colt HG","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","Artificial intelligence in pulmonary medicine: Computer vision, predictive model and covid-19",A Review on Agricultural Advancement Based on Computer Vision and Machine Learning,"artificial intelligent,deep learning,machine learning,pulmonary specialist","Agriculture,Computer vision,Machine learning,Plant phenotyping",0,276,0.0,0.15,0.14285714285714285,0.13142857142857142
"['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['abrami a', 'gunzler s', 'kilbane c', 'ostrand r', 'ho b', 'cecchi g']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['automated', 'computer', 'vision', 'assessment', 'of', 'hypomimia', 'in', 'parkinson', 'disease:', 'proof-of-principle', 'pilot', 'study']","['covid-19', 'computer vision', 'radiology']","['computer vision', 'hypomimia', 'parkinson disease', 'telemedicine']","Punia R,Kumar L,Mujahid M,Rohilla R","Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G",Computer vision and radiology for COVID-19 detection,Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study,"COVID-19,Computer Vision,Radiology","Computer vision,Hypomimia,Parkinson disease,Telemedicine",1,176,0.0,0.11764705882352941,0.16666666666666666,0.13039215686274508
"['fernandes af', 'dórea jr', 'rosa gj']","['punia r', 'kumar l', 'mujahid m', 'rohilla r']","['image', 'analysis', 'and', 'computer', 'vision', 'applications', 'in', 'animal', 'sciences:', 'an', 'overview']","['computer', 'vision', 'and', 'radiology', 'for', 'covid-19', 'detection']","['automation', 'computer vision', 'high-throughput phenotyping', 'imaging', 'livestock', 'phenotyping', 'precision livestock', 'sensors']","['covid-19', 'computer vision', 'radiology']","Fernandes AF,Dórea JR,Rosa GJ","Punia R,Kumar L,Mujahid M,Rohilla R",Image Analysis and Computer Vision Applications in Animal Sciences: An Overview,Computer vision and radiology for COVID-19 detection,"automation,computer vision,high-throughput phenotyping,imaging,livestock,phenotyping,precision livestock,sensors","COVID-19,Computer Vision,Radiology",0,177,0.0,0.2,0.1,0.13
"['deepan p', 'sudha lr']","['vij r', 'arora s']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['computer', 'vision', 'with', 'deep', 'learning', 'techniques', 'for', 'neurodegenerative', 'diseases', 'analysis', 'using', 'neuroimaging:', 'a', 'survey']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']","['artificial intelligence', 'computer vision', 'deep learning', 'medical imaging modalities', 'neurodegenerative diseases', 'neuroimages']","Deepan P,Sudha LR","Vij R,Arora S",Deep Learning Algorithm and Its Applications to IoT and Computer Vision,Computer Vision with Deep Learning Techniques for Neurodegenerative Diseases Analysis Using Neuroimaging: A Survey,"Adversarial network and encoder,Convolutional network,Deep learning,Internet of Things,Recurrent network","Artificial intelligence,Computer vision,Deep learning,Medical imaging modalities,Neurodegenerative diseases,Neuroimages",0,178,0.0,0.2,0.1,0.13
['tombe r'],"['deepan p', 'sudha lr']","['computer', 'vision', 'for', 'smart', 'farming', 'and', 'sustainable', 'agriculture']","['deep', 'learning', 'algorithm', 'and', 'its', 'applications', 'to', 'iot', 'and', 'computer', 'vision']","['big data processing', 'computer vision', 'deep learning', 'drones', 'machine learning', 'remote sensing images']","['adversarial network and encoder', 'convolutional network', 'deep learning', 'internet of things', 'recurrent network']",Tombe R,"Deepan P,Sudha LR",Computer Vision for Smart Farming and Sustainable Agriculture,Deep Learning Algorithm and Its Applications to IoT and Computer Vision,"big data processing,computer vision,deep learning,drones,machine learning,remote sensing images","Adversarial network and encoder,Convolutional network,Deep learning,Internet of Things,Recurrent network",1,179,0.0,0.2,0.1,0.13
